;Retail Price 0;Spot Price 0;Spot Price P25;Retail Price P25;Spot Price M25;Retail Price M25;Waste Price;Wood Price;Bio Pellet Price;Bio Oil Price;DH Price;Demand Area 1;Demand Area 2;Demand Area 3
202;1641,1;659,9;824,9;1847,4;494,9;1434,9;1;200;1000;1400;672;500,0;104,1;70,6
203;1644,7;662,7;828,4;1851,8;497;1437,6;1;200;1000;1400;672;505,2;102,2;61,8
204;1633,1;653,5;816,8;1837,3;490,1;1428,9;1;200;1000;1400;672;484,4;103,3;70,6
205;1577,5;609;761,3;1767,8;456,8;1387,2;1;200;1000;1400;672;492,2;96,0;66,2
206;1547,2;584,8;731;1730;438,6;1364,5;1;200;1000;1400;672;484,4;94,4;70,6
207;1570,6;603,5;754,4;1759,2;452,6;1382;1;200;1000;1400;672;471,4;102,2;70,6
208;1605,6;631,4;789,3;1802,9;473,6;1408,2;1;200;1000;1400;672;510,4;105,3;79,4
209;1536,4;576,1;720,2;1716,4;432,1;1356,4;1;200;1000;1400;672;505,2;109,9;79,4
210;1417,1;480,7;600,8;1567,3;360,5;1266,9;1;200;1000;1400;672;546,9;113,0;92,7
211;1329,2;410,4;513;1457,5;307,8;1201;1;200;1000;1400;672;544,3;114,5;88,3
212;1318,8;402;502,5;1444,4;301,5;1193,1;1;200;1000;1400;672;528,6;114,9;105,9
213;1328,7;410;512,5;1456,8;307,5;1200,6;1;200;1000;1400;672;507,8;117,3;79,4
214;1315,9;399,7;499,6;1440,8;299,8;1191;1;200;1000;1400;672;505,2;116,5;79,4
215;1276,9;368,5;460,7;1392,1;276,4;1161,7;1;200;1000;1400;672;479,2;114,2;66,2
216;1305,5;391,4;489,2;1427,8;293,5;1183,2;1;200;1000;1400;672;513,0;110,3;53
217;1269,3;362,5;453,1;1382,6;271,8;1156,1;1;200;1000;1400;672;497,4;108,4;48,5
218;1248,9;346,1;432,7;1357,1;259,6;1140,7;1;200;1000;1400;672;487,0;109,5;48,5
219;1242,9;341,3;426,6;1349,5;256;1136,2;1;200;1000;1400;672;487,0;111,1;48,5
220;1242,5;341;426,3;1349,1;255,8;1135,9;1;200;1000;1400;672;487,0;111,8;57,4
221;1247,2;344,7;430,9;1354,9;258,5;1139,4;1;200;1000;1400;672;526,0;114,5;61,8
222;1244,9;342,9;428,6;1352;257,2;1137,7;1;200;1000;1400;672;583,3;117,6;101,5
223;1290;379;473,7;1408,4;284,2;1171,5;1;200;1000;1400;672;644,9;123,4;132,4
224;1308,6;393,9;492,4;1431,7;295,4;1185,5;1;200;1000;1400;672;719,9;123,4;136,8
225;1329,7;410,7;513,4;1458;308;1201,3;1;200;1000;1400;672;694,9;119,6;128
226;1372,5;445;556,2;1511,5;333,7;1233,4;1;200;1000;1400;672;691,7;118,4;128
227;1387,4;456,9;571,1;1530,1;342,7;1244,6;1;200;1000;1400;672;613,6;114,9;105,9
228;1380;451;563,8;1521;338,3;1239,1;1;200;1000;1400;672;588,5;112,2;101,5
229;1374,8;446,8;558,5;1514,4;335,1;1235,1;1;200;1000;1400;672;487,0;108,7;83,8
230;1388,7;458;572,5;1531,9;343,5;1245,6;1;200;1000;1400;672;447,9;111,4;79,4
231;1404,1;470,3;587,9;1551,1;352,7;1257,1;1;200;1000;1400;672;468,8;110,7;79,4
232;1455,1;511,1;638,9;1614,8;383,3;1295,4;1;200;1000;1400;672;492,2;110,7;75
233;1508,4;553,7;692,1;1681,4;415,3;1335,4;1;200;1000;1400;672;518,2;113,8;88,3
234;1488,1;537,5;671,9;1656,1;403,1;1320,1;1;200;1000;1400;672;593,8;114,2;88,3
235;1438,4;497,7;622,1;1593,9;373,3;1282,8;1;200;1000;1400;672;549,5;115,3;79,4
236;1401,1;467,9;584,8;1547,3;350,9;1254,9;1;200;1000;1400;672;528,6;110,3;92,7
237;1376,6;448,3;560,4;1516,7;336,2;1236,5;1;200;1000;1400;672;502,6;110,3;61,8
238;1321;403,8;504,7;1447,1;302,8;1194,8;1;200;1000;1400;672;494,8;107,2;57,4
239;1268,2;361,6;451,9;1381,2;271,2;1155,2;1;200;1000;1400;672;484,4;102,5;48,5
240;1327,6;409,1;511,4;1455,5;306,8;1199,8;1;200;1000;1400;672;453,1;99,8;30,9
241;1314,9;398,9;498,7;1439,6;299,2;1190,3;1;200;1000;1400;672;450,5;99,5;26,5
242;1292,1;380,7;475,9;1411,1;285,5;1173,2;1;200;1000;1400;672;442,7;98,7;26,5
243;1262,5;357;446,3;1374,1;267,8;1151;1;200;1000;1400;672;440,1;101,0;26,5
244;1286;375,8;469,7;1403,4;281,8;1168,5;1;200;1000;1400;672;481,8;100,2;26,5
245;1337,9;417,3;521,6;1468,3;313;1207,5;1;200;1000;1400;672;481,8;100,2;35,3
246;1355,1;431,1;538,9;1489,8;323,3;1220,4;1;200;1000;1400;672;528,6;109,1;75
247;1442,9;501,3;626,7;1599,6;376;1286,2;1;200;1000;1400;672;559,9;113,8;88,3
248;1463,9;518,1;647,7;1625,8;388,6;1302;1;200;1000;1400;672;552,1;110,3;75
249;1441,3;500;625;1597,5;375;1285;1;200;1000;1400;672;502,6;107,2;70,6
250;1415,4;479,4;599,2;1565,2;359,5;1265,6;1;200;1000;1400;672;510,4;102,9;75
251;1378,5;449,8;562,3;1519,1;337,4;1238;1;200;1000;1400;672;523,4;101,8;57,4
252;1362;436,6;545,8;1498,5;327,5;1225,6;1;200;1000;1400;672;479,2;98,7;61,8
253;1353;429,4;536,7;1487,1;322;1218,8;1;200;1000;1400;672;474,0;97,9;57,4
254;1345,9;423,7;529,7;1478,3;317,8;1213,5;1;200;1000;1400;672;463,5;97,9;48,5
255;1349,2;426,4;532,9;1482,4;319,8;1216;1;200;1000;1400;672;463,5;101,8;44,1
256;1361,4;436,1;545,2;1497,7;327,1;1225,1;1;200;1000;1400;672;489,6;98,3;61,8
257;1352,1;428,7;535,8;1486;321,5;1218,1;1;200;1000;1400;672;487,0;103,7;53
258;1345,7;423,5;529,4;1478;317,6;1213,3;1;200;1000;1400;672;507,8;106,4;66,2
259;1316,4;400,2;500,2;1441,5;300,1;1191,4;1;200;1000;1400;672;523,4;111,1;79,4
